feature,offset,auc,p,q
volume_z,-7,0.48924145995714924,0.0021192854982376892,0.005232572159365622
volume_z,-6,0.4942967558965012,0.10330663929972583,0.16954442567425593
volume_z,-5,0.49589670776631084,0.2411840511245752,0.32665218574639066
volume_z,-4,0.49758202588696565,0.48978506925843657,0.5693751430129325
volume_z,-3,0.49540448660225583,0.18930877351368247,0.27225333922844025
volume_z,-2,0.504392814729527,0.20957664158741218,0.2983259336882041
volume_z,-1,0.5235680841148458,1.6752690889258365e-11,1.507742180033253e-10
volume_z,0,0.566092150215249,1.0157836379206113e-79,4.0486233568550077e-78
dollar_volume_z,-8,0.49675779386406416,0.3544053412697067,0.44540130727138816
dollar_volume_z,-7,0.4895186106418384,0.0027550628067201993,0.006626401060990825
dollar_volume_z,-6,0.4945400531040455,0.11886945350309237,0.19228940333001088
dollar_volume_z,-5,0.496513798024893,0.31936125322664377,0.40500813477378916
dollar_volume_z,-4,0.49801011618595786,0.5697808473187789,0.6508860373266914
dollar_volume_z,-3,0.496029588506977,0.25676218169718645,0.33865607474433856
dollar_volume_z,-2,0.5048407959253793,0.1667604809678751,0.24747964994700614
dollar_volume_z,-1,0.5239118259536724,8.4901935147345e-12,8.168151691761812e-11
dollar_volume_z,0,0.5661274235732183,8.967358886359497e-80,4.0486233568550077e-78
trade_count_z,-8,0.4985233742037861,0.6731920681425303,0.748289191281936
trade_count_z,-7,0.4902979719176222,0.005584828751131195,0.012871074638215997
trade_count_z,-6,0.4971195794981473,0.4106558108459222,0.49384901390522534
trade_count_z,-5,0.4969266063853121,0.3800200082932633,0.4712248102836465
trade_count_z,-4,0.5005270823796257,0.8803299386256317,0.9198953291256601
trade_count_z,-3,0.497115098706094,0.40992821529600554,0.49384901390522534
trade_count_z,-2,0.5069477834680235,0.04719896581090473,0.08606870236106157
trade_count_z,-1,0.5245855933312545,2.180187667612778e-12,2.1724012830855895e-11
trade_count_z,0,0.5673886019305554,1.2546113607077949e-82,8.389793059606359e-81
taker_buy_ratio,-8,0.5007988551086257,0.819507888535168,0.8726820645088239
taker_buy_ratio,-7,0.50574858228041,0.10059433931104762,0.16606994477977685
taker_buy_ratio,-6,0.5052890661235233,0.13085814703071394,0.20743990353164313
taker_buy_ratio,-5,0.506596135531721,0.05955584271779617,0.10516506403965273
taker_buy_ratio,-4,0.5050976963451413,0.145374611546731,0.22163670284993417
taker_buy_ratio,-3,0.5112870774861887,0.0012643491614759614,0.0032068492368344838
taker_buy_ratio,-2,0.4994655317270234,0.8786659384573285,0.9198953291256601
taker_buy_ratio,-1,0.4995917478235363,0.9071697304399178,0.9339496486816865
taker_buy_ratio,0,0.5346795864261604,3.935869084162269e-23,9.982795222557027e-22
cvd_slope_8,-8,0.5030371351358632,0.3856666529300663,0.47611060251101106
cvd_slope_8,-7,0.5058372280790002,0.09545493066747887,0.15937417514532215
cvd_slope_8,-6,0.5054085170533467,0.12238363069656348,0.1951144740819498
cvd_slope_8,-5,0.5072073175782352,0.03952866523414656,0.0745168756778844
cvd_slope_8,-4,0.5076562386598014,0.028752231256469613,0.0560970106332519
cvd_slope_8,-3,0.5117042585769346,0.0008284457474978152,0.0022012987004941947
cvd_slope_8,-2,0.5124988188601991,0.00035689462982300973,0.0010143554235786064
cvd_slope_8,-1,0.5049412229652178,0.15813515197355255,0.23720272796032882
cvd_slope_8,0,0.4903068003093682,0.005628211848969003,0.012871074638215997
ema20_slope,-8,0.5146545673721137,2.8414524906704283e-05,0.00010295652531130512
ema20_slope,-7,0.5158319275256639,6.122725032183884e-06,2.4059722309567655e-05
ema20_slope,-6,0.518652165185065,9.948780181832553e-08,4.86966608900225e-07
ema20_slope,-5,0.5202095633522175,7.810398971314066e-09,4.447145536727805e-08
ema20_slope,-4,0.5214296129138488,9.299850974894779e-10,6.652970312809342e-09
ema20_slope,-3,0.5216493803087208,6.259334532068432e-10,4.603746550443802e-09
ema20_slope,-2,0.5222758895289494,1.9822597049182702e-10,1.6759104777945377e-09
ema20_slope,-1,0.5205056575088626,4.710935152631229e-09,2.8572845817045937e-08
ema20_slope,0,0.5331171194101176,3.0997411530374433e-21,6.652521397672666e-20
linreg_slope_20,-8,0.5144129639693052,3.841610459138093e-05,0.00013102492188395954
linreg_slope_20,-7,0.516461786659413,2.576072464166956e-06,1.0569473786802657e-05
linreg_slope_20,-6,0.5189714272732519,5.99841338397867e-08,2.9884952395179443e-07
linreg_slope_20,-5,0.5202394386499903,7.424321480399484e-09,4.3153868604822005e-08
linreg_slope_20,-4,0.5206000984316675,4.0034857617210795e-09,2.4821611722670694e-08
linreg_slope_20,-3,0.5211433599135024,1.5485887056416199e-09,1.0047819741256092e-08
