feature,offset,auc,p_two_sample,p_one_sample,median_event_z,median_control_z,q_two_sample,q_one_sample
taker_buy_ratio,-4,0.5191172380044441,0.017009118905770112,0.0023168954821855842,0.08259008478906266,0.017697788907545458,0.02858534970896009,0.0034829813402526147
taker_buy_ratio,-3,0.544628854362776,2.528821281427649e-08,1.029197301531702e-07,0.11424237193322277,-0.03583853947533313,7.603137391193457e-08,2.1462529092917198e-07
taker_buy_ratio,-2,0.5687450547056528,9.336659957857889e-18,1.79944148627313e-18,0.21005504318793888,-0.050522528329269366,4.481596779771787e-17,5.847116278436204e-18
taker_buy_ratio,-1,0.562337699552064,7.14018578247356e-15,1.7558887435225794e-16,0.20979338342933793,-0.031328623859777374,2.959931560734494e-14,5.471653305555555e-16
taker_buy_ratio,0,0.6323942793635792,2.324155705954567e-61,2.0754293875775513e-64,0.3752087435305141,-0.053959181235625375,2.6061024637261045e-60,1.1448336299218106e-63
taker_buy_ratio,1,0.6378073897519559,2.5084750011075847e-66,8.121144732428415e-75,0.4607418129077759,-0.0535152968246608,3.0101700013291017e-65,5.240436789604752e-74
taker_buy_ratio,2,0.6222856900825701,1.295672550645835e-52,1.2292037517089253e-57,0.35726355922002934,-0.061947826152342095,1.3634461917565405e-51,6.20498425216904e-57
taker_buy_ratio,3,0.607610328606337,3.841611027967336e-41,5.576207039372594e-54,0.3281955161075736,-0.03773619610391659,3.5270630109122926e-40,2.7146801529756968e-53
cvd_slope_8,-32,0.49696029321199525,0.7043475300336709,0.19745043779605187,-0.005465008126450571,0.0009393427602284627,0.7641137359921188,0.2356999990445017
cvd_slope_8,-31,0.48700424162858935,0.10473260790336573,0.03364686703510073,-0.015212907079070356,0.018582625093246617,0.15290737205101848,0.04490625766245639
cvd_slope_8,-30,0.4901176122572772,0.21732581766829684,0.03550920637787867,-0.04958180877996388,0.01124311706363701,0.2903337095412403,0.04734560850383822
cvd_slope_8,-29,0.488150155755365,0.13906568013545614,0.016540947854806507,-0.04852827455628326,0.01510542216750506,0.19796238337700728,0.022764604291122034
cvd_slope_8,-28,0.4829338682026052,0.03313373886402275,0.001077611630902593,-0.09036474859738723,0.01102135111122858,0.05326316658752424,0.0016751577385573906
cvd_slope_8,-27,0.4772826890167358,0.004569264329628494,0.00010417220961492666,-0.07822249758016081,0.023013474727292343,0.00830113360283105,0.0001723187215879319
cvd_slope_8,-26,0.4749556931535852,0.0017694791035869737,2.9754804218270087e-05,-0.11257353359112404,0.026211165628024793,0.003418993522185,5.198540507100061e-05
cvd_slope_8,-25,0.47706960900082407,0.004202751425278352,0.00013909295975178597,-0.0913167371132199,0.023289249278143333,0.007686315440883403,0.00022870092420726346
cvd_slope_8,-24,0.48687611382187396,0.10135382904563014,0.003879175808490477,-0.044573160934094934,0.006988218729513165,0.14829094987638722,0.0056394394325345095
cvd_slope_8,-23,0.489278703161351,0.18076733647002352,0.01806275525092382,-0.05682345046624266,-0.0032202303026643447,0.2485323781819017,0.024809085525365246
cvd_slope_8,-22,0.49138268138502683,0.28204165667009273,0.010604213434614,-0.08340913858588782,-0.007326217329357576,0.3585808423091886,0.014955220596445312
cvd_slope_8,-21,0.49296054445055604,0.379525796150496,0.006954065799880709,-0.06710611884667625,-0.01276601745992711,0.45864954870483965,0.009940608165346719
cvd_slope_8,-20,0.49496225198513677,0.5294240104918135,0.010453296536003185,-0.08121417173522381,-0.03430249244337679,0.6042222039305063,0.014757595109651555
cvd_slope_8,-19,0.49854095424920725,0.8554766340118976,0.026143291959858105,-0.03538770670019364,-0.017052354582268937,0.8933526987238748,0.035339944072219256
cvd_slope_8,-18,0.5022281502773224,0.780899515500183,0.11491883721311258,-0.03038510630124995,-0.013276582356838216,0.8268347811178408,0.14370106883687203
cvd_slope_8,-17,0.5021727214934685,0.7862160604343247,0.13631562418584617,-0.019456508660146168,-0.01608892420351953,0.8311774116492706,0.16724643397868838
cvd_slope_8,-16,0.5023804467704701,0.7663450724065306,0.1594082405753482,-0.031381548302722335,-0.017078162101218493,0.8164797967695747,0.1936682709654319
cvd_slope_8,-15,0.5076333009186705,0.3406389371358898,0.20053301926267153,-0.03704406730025325,-0.04122669947347601,0.4206474348181694,0.2389626919436713
cvd_slope_8,-14,0.5116011142102131,0.1475530478247673,0.3831364500246677,-0.01916788859802097,-0.04095114242552371,0.20745382263543852,0.43067433330628213
cvd_slope_8,-13,0.5135611898557897,0.09047134505367758,0.6989942787845309,-0.029660448814234838,-0.046371111466767034,0.13351111114717468,0.7277200710633472
cvd_slope_8,-12,0.5201803707621221,0.011761259096499388,0.6981980323933823,0.012521243960091046,-0.0406179980392012,0.02025694302301033,0.727444713110546
cvd_slope_8,-11,0.5322057636094066,5.809256905899809e-05,0.09008148279355538,0.07108534698001587,-0.04807760280724296,0.00013966719590985833,0.11516959669306893
cvd_slope_8,-10,0.533076897620576,3.640648831255892e-05,0.11195868440852051,0.07229458655481262,-0.058948689197733495,8.941485818955224e-05,0.1405132846521615
cvd_slope_8,-9,0.5390702494468941,1.0751421936630107e-06,0.05900407513414125,0.06202859214681276,-0.08768616476399059,2.953402652471885e-06,0.07709414974546822
cvd_slope_8,-8,0.540148529844372,5.387569696054347e-07,0.028959169689129826,0.07426239745940881,-0.07834459394002584,1.5071974119023202e-06,0.039023424024275555
cvd_slope_8,-7,0.5392650944059766,9.501798337337959e-07,0.05871594462557959,0.09221397935337611,-0.0727986404466715,2.620657283362566e-06,0.07679102509349223
cvd_slope_8,-6,0.5404262044134434,4.4966292930538095e-07,0.05808408348087795,0.08591483898183831,-0.08439910542345891,1.2683276026593014e-06,0.07611017835425388
cvd_slope_8,-5,0.5398790562267847,6.413533664863726e-07,0.07901833483632152,0.06306659156819236,-0.07571226164533784,1.786907139212541e-06,0.10159500193241339
cvd_slope_8,-4,0.5431664799904985,7.096203705802538e-08,0.011714242108396958,0.08535119430276647,-0.059734284110998896,2.0831773968965391e-07,0.01641914262734328
cvd_slope_8,-3,0.553062712868962,3.4931666709428765e-11,9.09842729310401e-05,0.12711880509211684,-0.07032058627950775,1.2036906815742707e-10,0.00015197373061008894
cvd_slope_8,-2,0.5787941147270661,7.852782816293446e-23,7.840112469843779e-14,0.24012378409419477,-0.07714846793658256,4.860908096239563e-22,2.2297866650200187e-13
cvd_slope_8,-1,0.5955678102427182,8.229378861286093e-33,5.45890299075709e-23,0.3212358952166424,-0.06629609783914908,6.701065644190104e-32,1.9197376070323133e-22
cvd_slope_8,0,0.660182962262791,5.899305103938019e-89,7.217870858854222e-64,0.607830073981762,-0.09701773304185136,8.406509773111676e-88,3.933883400363576e-63
cvd_slope_8,1,0.7197631642396836,1.0690923966833881e-165,6.363603909354378e-115,0.9879993548057013,-0.09916535775408063,2.5215834459704743e-164,6.645351258012815e-114
cvd_slope_8,2,0.7683879563335032,4.1538709778408463e-246,1.2974740112691683e-156,1.4076913614055602,-0.13073093342070347,1.4953935520227046e-244,2.2467651233116738e-155
cvd_slope_8,3,0.8067733298496977,0.0,1.5751884269939445e-187,1.7257192712418417,-0.15366504438060566,0.0,3.847960300228065e-186
ema20_slope,-32,0.45395656620322095,9.027835557036764e-09,8.527794456924265e-10,-0.19644405453533292,0.01786731059014275,2.7941355298702022e-08,2.0010330732542703e-09
ema20_slope,-31,0.4529959103646374,4.411404183017695e-09,1.0021455314053967e-09,-0.19591832027242645,0.027075389591518638,1.3905071249696329e-08,2.339479670584612e-09
ema20_slope,-30,0.45142462077966095,1.3266313294785475e-09,2.936289281267518e-10,-0.18949772873728915,0.023934896030188217,4.290382171930622e-09,7.059479326492029e-10
