feature,direction,auc_late_-4..-1,auc_early_-16..-9,auc_veryearly_-32..-17,earliest_sig_offset,lead_min_vs_1h_close,onesample_earliest_offset,onesample_lead_min,hit_rate_fpr10,fpr,median_trigger_lead_min,symbol_consistency,n_symbols,succ_vs_fail_auc,recommendation,signed_auc_late,redundant_with
atr_pct,+,0.6000582976310478,0.5649533616540333,0.5568255776977068,-32.0,525.0,-18.0,315.0,0.17636252296387017,0.09887885393958268,285.0,0.8703703703703703,54,0.5217564649774526,TEST FURTHER,0.6000582976310478,atr_pctile_480
lower_high_freq_16,-,0.4011438373564146,0.5143835003163638,0.5400493520370946,-6.0,135.0,-8.0,165.0,0.12186160440906307,0.13282466521332917,270.0,0.8703703703703703,54,0.5194991459051793,TEST FURTHER,0.5988561626435853,higher_low_freq_16
dollar_volume_z,+,0.5872419000386252,0.5206983343790311,0.5176415683587774,-6.0,135.0,-32.0,525.0,0.10042865890998164,0.09887885393958268,240.0,0.8888888888888888,54,0.502772810874788,TEST FURTHER,0.5872419000386252,trade_count_z
volume_z,+,0.5857613912082671,0.5219153718680677,0.5193825591968395,-6.0,135.0,-32.0,525.0,0.10165339865278629,0.09887885393958268,240.0,0.9074074074074074,54,0.5027762935585446,TEST FURTHER,0.5857613912082671,trade_count_z
rel_volume,+,0.5845561273601977,0.5183307923850982,0.5160429134776222,-6.0,135.0,-32.0,525.0,0.1359461114513166,0.09887885393958268,240.0,0.8518518518518519,54,0.5017867077780294,TEST FURTHER,0.5845561273601977,trade_count_z
bb_width,+,0.5736221002520973,0.5368800602282701,0.5282658972459613,-10.0,195.0,-18.0,315.0,0.13900796080832822,0.09887885393958268,270.0,0.8888888888888888,54,0.5073386881557881,TEST FURTHER,0.5736221002520973,
global_ls_change_4h,-,0.4294122135835211,0.4908424600312843,0.5007951642929307,-5.0,120.0,-6.0,135.0,0.1500306184935701,0.09887885393958268,300.0,0.8888888888888888,54,0.5074732325445516,TEST FURTHER,0.5705877864164789,
cvd_slope_8,+,0.5676752526447827,0.520080199305553,0.48953821899219035,-6.0,135.0,-4.0,105.0,0.11512553582363748,0.09887885393958268,270.0,0.8518518518518519,54,0.48248730349411956,TEST FURTHER,0.5676752526447827,
consec_up_closes,+,0.564669676287219,0.49164214878653417,0.4742563387370086,-3.0,90.0,-32.0,525.0,0.10961420698101654,0.09887885393958268,255.0,0.7592592592592593,54,0.5009369329414218,TEST FURTHER,0.564669676287219,
dist_from_high_96,-,0.4461899389405114,0.555140029264585,0.5614919468128599,-2.0,75.0,-13.0,240.0,0.039804041641151255,0.09887885393958268,300.0,0.7037037037037037,54,0.5165641536073711,TEST FURTHER,0.5538100610594886,
taker_buy_ratio,+,0.5489674350829565,0.5122864740573513,0.4989314544635898,-3.0,90.0,-4.0,105.0,0.07532149418248622,0.09887885393958268,405.0,0.8333333333333334,54,0.4979783566858403,DISCARD,0.5489674350829565,
consec_down_closes,-,0.4522050507296387,0.5153173678375663,0.5301303803623609,-2.0,75.0,-32.0,525.0,0.3723208818126148,0.49283712239177824,525.0,0.7407407407407407,54,0.49749440016002383,DISCARD,0.5477949492703613,
bars_since_high_32,-,0.45570160780136254,0.5441551521790265,0.5684921103771367,-2.0,75.0,-8.0,165.0,0.011635027556644213,0.09903456867019621,330.0,0.6481481481481481,54,0.507613058714699,DISCARD,0.5442983921986375,
oi_change_1h,+,0.5427840578792344,0.5068019390826977,0.4961921512092588,-2.0,75.0,-7.0,150.0,0.1383955909369259,0.09887885393958268,270.0,0.6851851851851852,54,0.49697529748208535,DISCARD,0.5427840578792344,
